type=image
path=/nfs/e3/ImgDatabase/256_ObjectCategories/256_ObjectCategories
data=stimID,category
001.ak47/001_0001.jpg,0
001.ak47/001_0002.jpg,0
001.ak47/001_0003.jpg,0
001.ak47/001_0005.jpg,0
001.ak47/001_0006.jpg,0
001.ak47/001_0008.jpg,0
001.ak47/001_0010.jpg,0
001.ak47/001_0011.jpg,0
001.ak47/001_0012.jpg,0
001.ak47/001_0013.jpg,0
001.ak47/001_0015.jpg,0
001.ak47/001_0016.jpg,0
001.ak47/001_0017.jpg,0
001.ak47/001_0018.jpg,0
001.ak47/001_0019.jpg,0
001.ak47/001_0020.jpg,0
001.ak47/001_0021.jpg,0
001.ak47/001_0022.jpg,0
001.ak47/001_0025.jpg,0
001.ak47/001_0026.jpg,0
001.ak47/001_0027.jpg,0
001.ak47/001_0028.jpg,0
001.ak47/001_0029.jpg,0
001.ak47/001_0030.jpg,0
001.ak47/001_0031.jpg,0
001.ak47/001_0032.jpg,0
001.ak47/001_0033.jpg,0
001.ak47/001_0034.jpg,0
001.ak47/001_0036.jpg,0
001.ak47/001_0037.jpg,0
001.ak47/001_0038.jpg,0
001.ak47/001_0039.jpg,0
001.ak47/001_0040.jpg,0
001.ak47/001_0041.jpg,0
001.ak47/001_0042.jpg,0
001.ak47/001_0043.jpg,0
001.ak47/001_0045.jpg,0
001.ak47/001_0046.jpg,0
001.ak47/001_0048.jpg,0
001.ak47/001_0049.jpg,0
001.ak47/001_0050.jpg,0
001.ak47/001_0051.jpg,0
001.ak47/001_0053.jpg,0
001.ak47/001_0054.jpg,0
001.ak47/001_0055.jpg,0
001.ak47/001_0056.jpg,0
001.ak47/001_0057.jpg,0
001.ak47/001_0058.jpg,0
001.ak47/001_0059.jpg,0
001.ak47/001_0060.jpg,0
001.ak47/001_0061.jpg,0
001.ak47/001_0062.jpg,0
001.ak47/001_0063.jpg,0
001.ak47/001_0064.jpg,0
001.ak47/001_0065.jpg,0
001.ak47/001_0067.jpg,0
001.ak47/001_0068.jpg,0
001.ak47/001_0069.jpg,0
001.ak47/001_0070.jpg,0
001.ak47/001_0071.jpg,0
001.ak47/001_0072.jpg,0
001.ak47/001_0074.jpg,0
001.ak47/001_0075.jpg,0
001.ak47/001_0076.jpg,0
001.ak47/001_0077.jpg,0
001.ak47/001_0078.jpg,0
001.ak47/001_0079.jpg,0
001.ak47/001_0080.jpg,0
001.ak47/001_0081.jpg,0
001.ak47/001_0085.jpg,0
001.ak47/001_0086.jpg,0
001.ak47/001_0087.jpg,0
001.ak47/001_0089.jpg,0
